method,family,seed,ss_mse,ss_mse_db
PPO-MLP,gaussian,0,0.010602041410098,-19.746105037715186
PPO-MLP,gaussian,1,0.0514176318145754,-12.888879298929314
PPO-MLP,gaussian,2,0.015940757380086,-17.97491048146164
PPO-MLP,colored,0,0.0224768402128606,-16.48264741774549
PPO-MLP,colored,1,0.027485818242484,-15.608913297064204
PPO-MLP,colored,2,0.016581909228992,-17.80365466529203
PPO-MLP,impulsive,0,0.0063674363483076,-21.960353876729663
PPO-MLP,impulsive,1,0.0414004534320727,-13.829949022993178
PPO-MLP,impulsive,2,0.0104242845856586,-19.819537407405637
PPO-MLP,time_varying,0,0.0056610075531849,-22.471062655819907
PPO-MLP,time_varying,1,0.0256226573243185,-15.913758315828812
PPO-MLP,time_varying,2,0.0200111371808872,-16.987282308147847
PPO-MLP,alpha_stable,0,0.0131109755401817,-18.82364992795825
PPO-MLP,alpha_stable,1,0.0441899873855977,-13.546761224008604
PPO-MLP,alpha_stable,2,0.0115630508696035,-19.36927563713279
PPO-MLP,burst,0,1.5235178103710476e-05,-48.17152435875443
PPO-MLP,burst,1,0.0202970511292994,-16.925670542476894
PPO-MLP,burst,2,4.258523116891265e-05,-43.70740980697367
PPO-MLP,chirp_interferer,0,0.0081181532279505,-20.905427556967755
PPO-MLP,chirp_interferer,1,0.0318521272158721,-14.96861558377302
PPO-MLP,chirp_interferer,2,0.0135106974217678,-18.69322232099956
PPO-MLP,regime_switch,0,0.1144851556189518,-9.412508211867909
PPO-MLP,regime_switch,1,0.0307643546291444,-15.119521910426151
PPO-MLP,regime_switch,2,0.0668863324271671,-11.746626170220608
PPO-MLP,gaussian,3,0.012379423375765836,-19.072995839201756
PPO-MLP,gaussian,4,0.01066457712643973,-19.720563605484017
PPO-MLP,colored,3,0.01836543014815874,-17.359988952948214
PPO-MLP,colored,4,0.011941065909359724,-19.2295690450265
PPO-MLP,impulsive,3,0.008186185174285453,-20.869184356380895
PPO-MLP,impulsive,4,0.007615583428595631,-21.182968197674676
PPO-MLP,time_varying,3,0.08939642028623723,-10.486798713676816
PPO-MLP,time_varying,4,0.019325489300899862,-17.138695013721257
PPO-MLP,alpha_stable,3,0.006106583173371168,-22.142017232411767
PPO-MLP,alpha_stable,4,0.01667887448485559,-17.77833259518092
PPO-MLP,burst,3,7.288602680985274e-05,-41.373557175896174
PPO-MLP,burst,4,0.019117402747716287,-17.185711104134302
PPO-MLP,chirp_interferer,3,0.009695306171548328,-20.134384715828332
PPO-MLP,chirp_interferer,4,0.00879547653029543,-20.55740625870461
PPO-MLP,regime_switch,3,0.12014677346896854,-9.202878876399694
PPO-MLP,regime_switch,4,0.08057807056319166,-10.937831359716782
